t,AF3,F7,F3,F4,F8,AF7
2725.4902,929.9226,761.0978,586.3243,1086.9696,-292.1689,206.3134
2745.098,869.8462,722.8271,587.4729,1059.8368,-289.7591,202.7188
2764.7059,861.7389,761.1595,594.5209,1055.0117,-291.1713,201.3159
2784.3137,846.8833,780.8974,619.3077,1084.8553,-292.7555,200.7876
2803.9216,777.7874,722.1068,606.3781,1049.1328,-294.171,199.3
2823.5294,738.9109,712.7664,615.4183,1033.939,-292.7541,193.7675
2843.1373,731.7432,732.3287,636.5326,1056.085,-292.1737,198.3372
2862.7451,670.8098,706.6564,646.3991,1033.9364,-289.7561,182.7167
2882.3529,664.6621,728.2761,639.5526,1015.0632,-293.1723,190.2643
2901.9608,617.827,709.6265,658.2375,1017.7437,-289.7552,181.7564
2921.5686,552.6663,694.3992,626.4272,1013.1618,-292.1745,184.2932
2941.1765,475.0203,668.5157,656.2998,994.8237,-294.7503,176.7631
2960.7843,413.5022,656.4161,657.4227,999.0558,-289.1788,171.303
2980.3922,364.8545,631.5197,641.2339,977.7995,-294.7475,170.8057
3000,348.3975,646.5228,678.5157,991.0492,-289.1815,170.2438
3019.6078,344.0771,657.4042,711.4062,1011.8969,-293.7461,173.7959
3039.2157,339.3848,669.4764,710.5867,1033.9451,-292.1812,181.2885
3058.8235,265.8957,623.4346,708.4001,988.9899,-287.748,158.8052
3078.4314,175.4714,635.5916,721.5602,977.9692,-292.1831,154.2601
3098.0392,185.0785,663.3679,749.3013,1014.889,-291.7436,155.7455
3117.6471,164.2675,635.6334,752.5468,1022.9534,-292.1851,153.1964
3137.2549,183.1329,670.2438,797.3089,1058.8853,-290.7422,164.7928
3156.8627,181.3238,678.6694,817.5353,1078.8705,-289.1888,163.1833
3176.4706,100.126,653.3541,806.3665,1038.9423,-289.7408,154.8064
3196.0784,60.3584,657.7393,811.494,1021.824,-289.1902,144.2213
3215.6863,-6.7646,641.2267,794.3325,985.9777,-292.7389,140.7864
3235.2941,12.3561,663.6001,854.5249,1040.9193,-291.19,152.188
3254.902,25.0265,696.3065,880.4507,1075.0114,-293.7363,153.8742
3274.5098,-124.6024,593.6065,818.3408,1010.7827,-289.1937,140.1517
3294.1176,-83.6139,658.2538,876.3859,1066.2336,-292.7336,142.8412
3313.7255,-148.5005,646.7923,882.4683,1038.7108,-291.1952,137.1507
3333.3333,-185.6898,651.3168,866.5043,1023.1645,-291.7326,124.8786
3352.9412,-168.6849,667.7636,917.3042,1052.7338,-290.1972,128.0925
3372.549,-241.7629,637.2545,870.6199,1015.233,-292.7316,122.881
3392.1569,-305.6304,577.6683,852.28,991.6653,-292.1963,114.1252
3411.7647,-326.7334,610.2372,889.6027,1021.4138,-288.732,115.8912
3431.3725,-396.5714,596.6932,866.2384,1013.4738,-289.2007,115.0679
3450.9804,-385.6385,636.1727,909.6577,1023.3819,-290.7283,99.9538
3470.5882,-413.6906,607.7103,911.4027,1021.3879,-291.202,96.0921
3490.1961,-455.5103,589.2799,887.7375,996.5367,-286.7295,89.9811
3509.8039,-474.8296,603.8219,894.3697,986.3907,-284.2081,87.0308
3529.4118,-508.5111,603.1074,889.7121,989.6793,-283.7284,85.9745
3549.0196,-575.8508,566.6487,870.2235,976.2072,-287.2096,79.9859
3568.6275,-497.5422,631.2059,953.6725,1052.6577,-291.7193,88.0209
3588.2353,-552.8678,595.8192,901.1776,988.319,-294.2084,67.9381
3607.8431,-646.4986,563.1552,887.8563,981.8625,-288.719,69.1051
3627.451,-621.8948,616.7676,936.2262,1008.2151,-295.21,72.9095
3647.0588,-705.6345,578.2944,901.8927,969.7545,-288.7166,62.1197
3666.6667,-693.7652,608.758,947.1689,983.0917,-292.2142,60.9483
3686.2745,-732.559,589.3376,939.8223,992.9934,-288.7143,60.1397
3705.8824,-757.7642,599.6567,963.0532,1010.9713,-289.2188,57.8411
3725.4902,-750.499,641.225,1014.9913,1055.9919,-289.7105,65.1768
3745.098,-734.7767,646.7482,1020.0503,1039.895,-288.2224,61.8423
3764.7059,-801.5139,612.3085,1015.9109,1034.2322,-287.7097,59.2501
3784.3137,-806.8728,602.632,1021.084,1016.6528,-288.2249,45.8428
3803.9216,-867.4283,584.2563,1042.0093,1021.3032,-287.7062,43.2358
3823.5294,-846.9907,628.5251,1030.9393,1039.6848,-288.2279,37.7378
3843.1373,-886.4653,650.4218,1054.9764,1029.4012,-287.7032,38.2728
3862.7451,-888.8643,629.5582,1065.9684,1027.5811,-287.2335,34.7156
3882.3529,-825.308,679.4319,1148.2399,1099.567,-286.6996,48.3142
3901.9608,-854.0518,655.4413,1126.8346,1101.516,-291.2353,50.7301
3921.5686,-910.2719,625.474,1092.1267,1096.748,-288.6931,45.3777
3941.1765,-948.9487,622.5334,1095.7878,1074.2614,-294.2377,31.6542
3960.7843,-973.3389,623.5923,1081.2112,1058.7961,-292.6863,30.4205
3980.3922,-927.9515,673.4688,1172.7871,1080.2362,-291.244,32.5797
4000,-935.4007,671.6362,1178.3564,1097.8348,-290.6843,31.4267
4019.6078,-980.1276,648.3333,1149.6974,1100.1042,-290.248,32.5408
4039.2157,-1022.3466,630.6474,1109.3259,1069.9761,-291.6787,30.5019
4058.8235,-978.1907,671.1693,1162.5615,1105.8761,-292.2509,23.5539
4078.4314,-994.2613,654.7161,1153.5194,1082.0924,-293.6731,19.581
4098.0392,-992.2576,686.2155,1216.5256,1122.7955,-287.2598,19.4784
4117.6471,-971.2146,680.9434,1219.6708,1105.3588,-290.67,20.5891
4137.2549,-1023.2044,691.1002,1200.5311,1127.7146,-289.2633,13.4693
4156.8627,-1002.0688,722.9498,1213.7117,1136.4042,-288.6665,17.6506
4176.4706,-1016.2493,719.1093,1190.5662,1114.5436,-288.2679,15.4414
4196.0784,-1040.1332,707.0524,1185.8135,1115.4994,-303.6521,12.6996
4215.6863,-1016.3055,722.9015,1221.4894,1134.3982,-287.2739,19.3438
4235.2941,-1051.0497,702.1765,1222.6949,1134.5602,-293.6532,17.7455
4254.902,-1012.4219,752.8453,1259.3077,1187.2887,-289.2775,20.3517
4274.5098,-999.9595,778.3356,1275.9325,1193.7917,-289.6506,20.7736
4294.1176,-1013.3574,749.723,1257.3029,1175.1737,-291.2818,14.2529
4313.7255,-1017.8696,746.456,1259.0077,1167.834,-291.6442,5.8217
4333.3333,-1045.6267,745.7328,1264.1216,1168.1095,-290.2878,6.2236
4352.9412,-1084.8722,705.493,1220.1215,1143.9694,-291.6388,-4.0457
4372.549,-1143.6294,686.4264,1265.1355,1185.0354,-293.292,-13.7338
4392.1569,-1020.8373,786.6413,1326.1035,1236.2299,-289.634,6.8785
4411.7647,-1032.6147,781.4006,1294.9878,1229.9358,-293.2979,8.1505
4431.3725,-1051.8959,776.5925,1293.25,1237.1903,-289.6278,2.9778
4450.9804,-1113.746,758.3831,1274.0347,1204.7875,-294.3031,1.0873
4470.5882,-1133.7872,767.8434,1246.1919,1187.4561,-290.6208,-11.8887
4490.1961,-1080.7388,808.1906,1344.9939,1220.6566,-289.313,-4.9215
4509.8039,-1017.6095,842.9488,1406.4117,1289.6023,-294.6117,3.069
4529.4118,-1063.9395,806.1358,1349.8867,1278.6084,-289.3197,5.0324
4549.0196,-1075.6078,781.0406,1344.5007,1258.5844,-292.6061,3.1147
4568.6275,-1106.9498,796.9414,1314.7411,1263.3546,-290.3274,0.9538
4588.2353,-1097.6921,792.1716,1340.4794,1230.702,-293.5964,-12.8057
4607.8431,-1133.0887,757.9346,1347.8242,1213.3965,-292.3335,-16.0186
4627.451,-1109.4548,786.2388,1397.599,1285.9215,-290.5912,-3.7249
4647.0588,-1064.1539,830.8564,1388.6604,1302.2847,-294.3397,-1.062
4666.6667,-1074.5558,856.3705,1404.5601,1321.9927,-282.5888,0.2652
4686.2745,-1100.157,815.6177,1361.696,1270.2168,-294.3474,-8.1214
4705.8824,-1105.3923,809.597,1356.6328,1254.9744,-284.5811,-8.6401
4725.4902,-1066.2822,841.4208,1408.5497,1314.0917,-295.3522,-0.1814
4745.098,-1056.2448,853.5932,1414.8311,1317.1234,-288.5726,2.2799
4764.7059,-1103.3792,846.491,1389.5458,1286.8723,-292.3624,-3.2041
4784.3137,-1100.2253,857.808,1378.9425,1291.1119,-291.5623,-8.5589
4803.9216,-1143.3154,834.2816,1339.344,1244.9407,-293.3689,-22.1896
4823.5294,-1060.3074,896.8156,1410.8597,1314.3263,-291.5545,-9.574
4843.1373,-982.3479,922.1212,1470.3763,1405.7943,-289.3788,17.6892
4862.7451,-1020.1485,894.9934,1452.0381,1373.3112,-291.5472,1.4298
4882.3529,-1066.5408,859.1252,1410.2784,1336.7367,-292.3843,-7.2577
4901.9608,-1082.0962,871.1219,1399.1444,1322.4639,-295.5373,-17.4845
4921.5686,-1066.6023,887.9729,1395.382,1339.6228,-281.3984,-10.3613
4941.1765,-1051.1675,894.1354,1419.2042,1349.4375,-292.5327,-14.4718
4960.7843,-1048.7004,894.7794,1434.304,1355.558,-291.3983,-9.3404
4980.3922,-1028.1073,915.2122,1439.0603,1348.442,-290.5273,-5.4029
5000,-1031.6715,906.7737,1421.3478,1370.658,-294.4036,-11.3893
5019.6078,-1026.0844,902.3486,1420.1654,1371.6251,-290.5205,-9.4078
5039.2157,-1047.7213,886.5691,1406.2432,1346.6357,-292.4116,-14.4019
