PAT1,PAT2,PAT3,PAT4
-180.2367,81.4165,-94.4518,-18.8805
-161.0941,90.4634,-88.3151,-35.2322
-135.3882,111.7887,-111.4977,-37.4659
-129.8712,88.4182,-109.3161,-36.1553
-141.5609,91.0822,-122.5443,-27.4689
-207.837,83.0247,-92.2409,-32.163
-168.8702,78.9417,-97.6182,-43.4842
-189.5076,69.2484,-95.1868,-35.512
-203.0604,70.5184,-84.6844,-46.1507
-178.3,86.6246,-68.0907,-36.6046
-206.2158,78.5242,-57.7634,-32.0213
-202.2946,96.194,-63.9862,-31.6613
-204.2883,83.6418,-63.9033,-32.6195
-186.0483,90.7168,-82.8437,-35.4075
-163.5046,109.4947,-77.0046,-36.063
-168.0133,95.4383,-88.766,-35.5922
-163.629,81.046,-96.0851,-38.7532
-163.9825,79.5526,-59.6287,-39.6923
-175.7015,91.5783,-77.2522,-36.5787
-170.7663,79.849,-122.559,-23.1144
-116.7254,84.6187,-90.3868,-36.1869
-96.6509,83.6155,-114.3802,-42.9604
-173.8137,86.5374,-101.5303,-41.2432
-208.5142,105.5584,-94.277,-32.4705
-164.9486,85.3913,-106.6209,-44.7131
-172.5826,90.7112,-120.1349,-40.0494
-195.1436,80.9997,-80.7593,-40.4064
-193.3833,80.9508,-120.0049,-39.443
-223.2544,90.4921,-127.9479,-32.4959
-240.4528,76.0868,-112.8137,-16.5947
