TIME,AF3,F7,F3,F4,F8,AF4
1612482,-61,568,529,587,-179,-872
1612498,-33,577,539,580,-122,-824
1612514,-28,594,511,576,-154,-862
1612531,-119,564,497,581,-157,-872
1612548,-92,539,504,579,-152,-876
1612566,-116,570,502,579,-167,-893
1612583,-94,609,513,579,-109,-853
1612598,-144,584,477,587,-128,-885
1612616,-146,550,473,578,-193,-911
1612632,-188,533,470,575,-192,-934
1612650,-195,562,476,574,-178,-929
1612665,-204,561,474,573,-165,-922
1612697,-233,517,465,577,-194,-948
1612714,-209,537,474,578,-146,-928
1612732,-246,534,448,579,-174,-971
1612748,-234,493,427,576,-194,-992
1612765,-254,534,453,593,-160,-955
1612781,-235,532,445,586,-159,-991
1612813,-256,536,445,589,-130,-949
1612831,-246,536,434,584,-164,-959
1612846,-218,544,427,580,-174,-970
1612863,-267,536,433,579,-191,-951
1612881,-250,532,426,580,-168,-984
1612897,-220,540,420,578,-195,-967
1612929,-217,534,415,575,-169,-953
1612946,-231,543,415,590,-140,-961
1612964,-224,529,419,582,-141,-975
1612980,-208,536,415,582,-154,-967
1612997,-248,523,398,587,-177,-975
1613014,-226,534,435,586,-188,-978
1613046,-180,537,441,587,-177,-931
1613062,-178,594,437,578,-177,-938
1613080,-152,594,455,583,-148,-910
1613096,-148,599,449,584,-178,-920
1613113,-174,598,430,589,-148,-937
1613129,-172,592,429,583,-155,-937
1613147,-168,602,423,580,-146,-935
1613165,-187,588,412,579,-184,-935
1613181,-189,569,408,568,-150,-913
1613197,-163,599,416,579,-157,-885
1613215,-187,565,408,569,-182,-899
1613231,-175,604,411,574,-168,-897
1613247,-150,592,415,579,-130,-869
1613264,-160,599,412,574,-162,-855
1613281,-153,604,413,573,-150,-827
1613297,-155,635,422,574,-121,-805
1613314,-148,630,425,585,-116,-794
1613332,-149,620,419,576,-128,-831
1613348,-144,592,417,577,-121,-784
1613364,-122,601,417,578,-119,-819
1613381,-136,594,421,574,-88,-744
1613398,-158,603,434,577,-90,-805
1613414,-140,599,421,580,-92,-772
1613431,-159,596,431,579,-131,-813
1613448,-154,583,434,578,-95,-802
1613464,-150,598,458,576,-72,-762
1613482,-74,657,479,583,-24,-712
1613511,-88,661,503,576,-24,-685
1613529,-90,676,476,580,-39,-710
1613545,-89,686,488,582,2,-697
1613563,-90,686,487,585,-5,-695
1613579,-88,681,478,581,-27,-679
1613596,-84,689,447,582,-20,-674
1613612,-85,685,471,577,-38,-711
1613629,-85,690,466,587,-13,-677
1613646,-30,684,478,579,-5,-660
1613662,-60,724,470,589,10,-656
1613679,-60,692,470,578,-5,-631
1613696,-39,699,471,581,-2,-671
1613712,-85,691,464,581,10,-625
1613745,-66,764,455,576,-68,-665
1613762,-59,743,451,572,-115,-693
1613779,-68,753,445,578,-99,-692
1613795,-52,767,447,570,-121,-680
1613813,-64,778,439,573,-113,-669
1613829,-84,769,449,572,-85,-668
1613845,-57,784,452,570,-90,-669
1613863,-53,779,456,566,-87,-651
1613879,-65,772,447,570,-88,-664
1613895,-64,769,445,565,-92,-664
1613912,-49,772,449,570,-61,-610
1613929,-61,780,453,566,-61,-626
1613946,-89,763,443,564,-83,-637
1613976,-47,784,455,565,-52,-587
1613994,-28,792,452,562,-59,-567
1614010,-61,776,441,567,-58,-572
1614027,-61,737,442,565,-59,-567
1614044,-70,644,436,569,-61,-541
1614060,-21,693,448,564,-59,-515
1614078,-30,684,452,564,-64,-484
1614095,-52,652,444,565,-63,-507
1614112,-57,652,445,565,-30,-457
1614128,-38,658,444,566,-36,-446
1614146,-38,665,443,559,-53,-464
1614161,-74,660,434,561,-58,-473
1614179,-86,668,405,562,-77,-501
1614210,-86,648,412,559,-78,-483
1614228,-96,619,411,554,-44,-492
1614244,-97,632,420,559,-6,-459
1614261,-93,619,418,550,-62,-471
1614277,-107,634,415,556,-56,-488
1614295,-94,636,410,553,-64,-479
1614326,-120,657,380,554,-53,-488
1614344,-112,675,388,553,-28,-472
1614360,-87,693,390,555,-34,-462
1614377,-115,699,381,550,-38,-492
1614394,-89,713,412,569,-19,-459
1614410,-43,724,413,561,-12,-434
1614427,-65,716,409,561,-22,-453
1614444,-55,750,414,563,4,-411
1614461,-32,758,416,564,-17,-412
1614478,-72,750,421,562,-30,-415
1614494,-45,710,410,565,-32,-433
1614510,-69,756,415,562,-23,-426
1614526,-91,717,399,569,-53,-437
1614544,-95,722,404,562,-34,-435
1614560,-54,727,409,565,34,-379
1614578,-31,726,407,566,12,-396
1614593,-24,753,416,564,45,-365
1614611,-55,723,410,568,37,-380
1614628,-52,720,406,565,26,-383
1614643,-25,548,421,567,32,-402
1614675,-23,1978,423,565,53,-398
1614692,-67,5846,413,565,0,-384
1614709,-60,6981,406,564,-3,-391
1614726,-30,6784,416,564,33,-359
1614742,-8,6775,414,566,29,-331
1614759,-58,6912,413,563,47,-345
1614791,-37,6956,408,564,59,-355
1614808,-65,6956,392,567,54,-390
1614826,-82,6955,389,564,44,-389
1614842,-81,6954,385,565,7,-442
1614859,-89,6954,376,564,8,-445
1614876,-127,6954,375,564,-9,-439
1614909,-88,6954,378,565,36,-423
1614926,-102,6955,382,558,11,-427
1614942,-105,6951,376,563,8,-465
1614959,-74,6952,406,562,28,-422
1614975,-94,6927,389,566,34,-412
1614992,-122,6892,384,565,-5,-445
1615025,-127,6827,376,560,-23,-402
1615041,-123,6742,379,563,12,-380
1615058,-115,6700,387,566,14,-415
1615074,-99,6666,411,564,11,-381
1615092,-99,6615,403,564,0,-383
1615108,-94,6574,402,565,33,-384
1615142,-71,6397,381,563,-7,-376
1615159,-98,6296,396,566,9,-408
1615175,-96,6209,387,562,-3,-440
1615192,-84,6125,391,568,2,-425
1615208,-68,6035,407,566,-5,-410
1615225,8,6017,420,567,12,-390
1615242,-32,5933,396,570,-70,-411
1615259,48,5914,405,566,-116,-470
1615275,-38,5812,378,568,-192,-528
1615291,-32,5702,386,567,-168,-508
1615308,-30,5633,393,567,-182,-547
1615326,-86,5558,377,568,-205,-574
1615341,-56,5509,397,570,-163,-529
1615359,-102,5429,377,565,-184,-575
1615375,-98,5357,383,566,-192,-594
1615392,-97,5267,381,567,-160,-604
1615408,-89,5247,378,563,-145,-596
1615425,-93,5109,356,565,-164,-571
1615442,-95,5071,351,561,-123,-590
1615458,-118,5019,365,562,-145,-591
1615490,-123,4892,369,568,-167,-580
1615510,-105,4819,381,569,-157,-604
1615523,-80,4755,386,568,-146,-575
1615541,-108,4708,359,566,-158,-607
1615558,-91,4654,363,566,-152,-606
1615574,-47,4582,373,564,-127,-561
1615622,-123,4383,347,576,-163,-605
1615640,-83,4360,367,569,-135,-565
1615657,-101,4279,362,564,-119,-602
1615674,-112,4206,367,569,-133,-561
1615690,-134,4121,362,566,-155,-627
1615707,-161,4065,357,568,-165,-611
1615740,-162,4039,352,565,-107,-587
1615757,-162,4039,352,565,-107,-587
1615773,-162,4039,352,565,-107,-587
1615790,-162,4039,352,565,-107,-587
1615807,-162,4039,352,565,-107,-587
1615823,-162,4039,352,565,-107,-587
1615840,-162,4039,352,565,-107,-587
1615857,-152,3971,380,565,-101,-619
1615873,-152,3971,380,565,-101,-619
1615890,-152,3971,380,565,-101,-619
1615907,-27,3705,385,569,6,-391
1615923,-89,3430,371,574,-46,-469
1615940,-100,3376,374,569,-23,-484
1615972,-85,3270,389,565,-24,-501
1615990,-134,3234,368,563,-80,-516
1616007,-105,3194,361,571,-56,-523
1616023,-136,3149,357,569,-96,-526
1616040,-128,3108,361,569,-61,-570
1616057,-126,3055,360,563,-87,-553
1616088,-118,3000,372,573,-79,-576
1616106,-115,2956,365,575,-51,-527
1616122,-102,2948,375,578,-61,-572
1616139,-91,2908,384,586,-57,-563
1616156,-144,2877,366,579,-67,-556
1616173,-110,2861,377,576,-62,-593
1616205,-103,2807,368,581,-25,-567
1616221,-96,2765,358,577,-23,-539
1616239,-101,2738,360,579,-76,-567
1616256,-94,2710,359,573,-31,-529
1616272,-123,2646,351,568,-70,-571
1616289,-101,2559,350,566,-37,-553
1616322,-88,2393,346,565,-49,-564
1616339,-114,2291,339,564,-36,-572
1616355,-78,2134,341,567,-27,-574
1616372,-134,1854,317,562,-55,-594
1616389,-158,1245,320,570,-84,-630
1616405,-163,2374,302,560,-84,-603
1616438,-154,2299,298,567,-118,-641
1616455,-173,2301,320,597,-117,-612
1616472,-179,2280,325,599,-94,-571
1616488,-206,2226,293,595,-117,-577
1616505,-164,1993,322,597,-71,-530
1616522,-185,1142,298,590,-120,-521
1616554,-195,628,305,597,-61,-456
1616572,-166,342,310,596,-54,-399
1616588,-221,-65,310,606,-164,-482
1616604,-254,-215,307,628,-127,-451
1616621,-220,-346,331,620,-89,-411
1616639,-182,-442,351,623,-52,-358
1616670,-250,-670,337,649,-145,-397
1616687,-256,-755,355,720,-159,-357
1616704,-216,-776,364,694,-108,-278
1616722,-200,-840,342,653,-93,-212
1616737,-159,-857,339,611,-88,-56
