t,AF3,F7,F3,F4,F8,AF7
2520.0000,61.1510,1182.6140,375.7980,700.8925,-111.0781,70.8293
2540.0000,57.7256,1183.6365,365.2146,693.1163,-120.4472,54.2839
2560.0000,63.2827,1193.6388,352.7049,689.8950,-100.0307,61.6008
2580.0000,57.6783,1240.5023,372.3007,687.9625,-107.4360,53.4598
2600.0000,59.3951,1247.5725,362.7486,689.1036,-105.1564,39.5073
2620.0000,51.6280,1246.6718,364.3269,683.0115,-125.5236,18.4828
2640.0000,48.4433,1264.4952,358.6534,692.1346,-127.1017,-4.3488
2660.0000,56.5727,1289.6152,366.3578,690.8141,-108.4814,2.6918
2680.0000,57.3755,1288.5051,367.6449,692.2106,-106.2394,-5.3962
2700.0000,58.6240,1315.8041,379.4059,710.9216,-94.4392,-5.1512
2720.0000,69.3976,1350.4791,366.5555,696.1101,-91.1203,-2.7036
2740.0000,61.7337,1341.7601,354.5041,691.7269,-99.3365,-34.0251
2760.0000,66.4943,1343.3928,366.4852,701.2799,-93.0227,-34.6412
2780.0000,48.6993,1343.8903,355.5275,689.7473,-104.4606,-45.8321
2800.0000,34.3711,1323.3525,337.4022,680.3159,-135.1631,-67.9798
2820.0000,67.7756,1355.6796,377.6345,712.6182,-106.3992,-51.7935
2840.0000,66.4493,1351.4116,382.3531,710.3541,-115.1217,-54.9947
2860.0000,57.6605,1326.6790,370.7355,690.4392,-115.5840,-64.5409
2880.0000,57.2996,1322.4321,367.2981,697.4764,-89.1149,-67.0311
2900.0000,56.6575,1310.8656,359.7881,692.4812,-97.5242,-87.5889
2920.0000,62.2258,1311.6084,377.2025,692.6585,-95.0361,-57.3212
2940.0000,37.8663,1279.7371,348.8531,683.2717,-110.5545,-80.4584
2960.0000,34.2037,1280.5132,351.1277,686.5733,-138.0005,-91.3470
2980.0000,44.7677,1268.6334,358.9187,691.2802,-124.6468,-90.1714
3000.0000,47.1947,1286.4341,359.0574,695.7718,-120.9199,-91.4460
3020.0000,24.9383,1242.6709,347.0342,679.3259,-164.7165,-95.2148
3040.0000,34.0802,1259.5878,362.9304,692.8464,-139.8229,-84.5328
