t,1,2,3,4,5,6
2460.0000,2193.1313,-334.8691,1955.7186,205.2255,-151.3524,47.8815
2480.0000,2165.7832,-361.6652,1946.8917,227.5787,-139.8164,31.7349
2500.0000,2185.8948,-350.6174,1943.7622,198.0906,-150.6877,33.4521
2520.0000,2177.6379,-351.0646,1946.8683,197.0108,-152.1030,33.5305
2540.0000,2189.6833,-349.9849,1946.1941,189.0805,-151.7096,32.6138
2560.0000,2200.6377,-344.0487,1947.8170,174.2646,-155.2504,35.6612
2580.0000,2278.2397,-321.1810,2025.2515,174.1977,-146.5036,42.5535
2600.0000,2241.2437,-347.8576,2006.1600,188.3703,-151.1522,37.1986
2620.0000,2246.7371,-350.9355,2020.7377,202.9434,-142.2382,39.0600
2640.0000,2253.4785,-337.3850,2000.7137,177.5790,-152.8592,43.6644
2660.0000,2244.2290,-336.5523,2007.1340,199.6267,-135.3511,47.0924
2680.0000,2264.4526,-324.9522,2025.6470,191.9827,-137.8498,52.7789
2700.0000,2267.6416,-336.9774,2020.9407,176.2216,-139.2923,36.9714
2720.0000,2244.6785,-329.6643,2009.7246,200.3432,-134.6522,48.4915
2740.0000,2264.4409,-303.8720,2008.7566,171.7462,-140.6230,59.4610
2760.0000,2267.9155,-309.9191,2026.4829,192.5740,-122.2294,54.3014
2780.0000,2271.7419,-302.8875,2010.2780,165.1470,-140.2555,54.8115
2800.0000,2283.5918,-303.1941,2017.8948,164.5278,-143.2262,56.0879
2820.0000,2276.8564,-340.2754,2034.7112,202.2627,-129.1553,49.0759
2840.0000,2278.8606,-310.7334,2011.4083,174.8651,-125.1395,57.2121
2860.0000,2305.4922,-301.9513,2049.9949,175.4704,-134.9999,56.9446
2880.0000,2284.9719,-311.8366,2031.4467,176.4011,-136.3371,51.7483
2900.0000,2270.6304,-293.9796,2004.3721,164.0864,-139.0651,58.2529
2920.0000,2317.1465,-293.5299,2047.6975,161.2195,-136.7934,55.5894
2940.0000,2319.4917,-261.3229,2040.6960,145.6342,-136.4486,67.5077
2960.0000,2305.4163,-279.4422,2038.7063,166.9265,-129.5177,61.8001
2980.0000,2304.0972,-293.7240,2040.0264,180.5313,-129.4320,64.2527
3000.0000,2298.7422,-313.0463,2048.1880,190.5058,-127.9281,52.7031
3020.0000,2311.2578,-296.1836,2048.8757,171.9226,-135.0208,56.4949
3040.0000,2307.8472,-293.5400,2038.3914,163.3425,-137.1877,55.3822
3060.0000,2274.7834,-330.2638,2019.1378,193.2258,-136.3822,50.9771
3080.0000,2324.9800,-334.9070,2079.1965,197.8063,-129.9955,47.3495
3100.0000,2351.9358,-318.7573,2103.9844,189.8895,-128.4108,51.7849
3120.0000,2302.5923,-294.2344,2036.4647,165.4134,-133.7225,58.3363
3140.0000,2299.5010,-321.5884,2063.8831,203.1025,-129.4863,52.8366
3160.0000,2296.0000,-283.4838,2019.7406,153.9557,-142.7715,62.0359
3180.0000,2278.7998,-296.7755,2022.2678,173.2001,-144.4178,57.6395
3200.0000,2281.5601,-300.4630,2031.2424,190.0710,-136.4091,58.2466
3220.0000,2254.1953,-313.4729,2005.4899,181.8623,-136.6361,43.1542
3240.0000,2280.1665,-289.6450,2035.6162,180.3310,-138.4372,53.0876
3260.0000,2286.5547,-304.0061,2044.1490,199.3798,-130.3079,52.8126
3280.0000,2279.0459,-289.8126,2034.5128,185.0451,-134.5973,56.8456
3300.0000,2283.3452,-287.3518,2035.0657,184.8693,-132.8409,57.0303
3320.0000,2258.2449,-302.5261,2013.1843,190.2221,-136.1722,55.4166
3340.0000,2250.8784,-309.8293,2015.7404,200.3722,-124.2763,56.7341
3360.0000,2266.2886,-285.2872,2017.7542,176.2226,-126.3864,59.0057
3380.0000,2269.3035,-302.0731,2028.1953,188.1234,-129.7308,55.8299
3400.0000,2283.3586,-309.2517,2052.6191,201.9112,-129.5374,54.0293
3420.0000,2277.2285,-307.7504,2024.3586,171.8405,-137.0989,44.7321
3440.0000,2263.2654,-341.3100,2030.5060,195.8034,-133.0997,30.8519
3460.0000,2262.5610,-310.3613,2016.5563,180.5035,-126.2468,48.4526
