t,AF3,F7,F3,F4,F8,AF7
2560.0000,-229.2616,519.8635,305.9006,616.2990,-317.4232,-950.6741
2580.0000,-200.4862,538.0392,313.0760,642.7230,-287.2839,-928.0504
2600.0000,-216.3182,534.9422,312.8892,631.3230,-319.5574,-923.7961
2620.0000,-202.4661,533.9614,317.0884,635.7196,-325.1416,-916.8993
2640.0000,-217.3558,533.8582,319.9065,634.2635,-307.7690,-937.9518
2660.0000,-189.4748,527.0160,324.0696,636.6437,-311.0594,-918.7656
2680.0000,-184.3961,536.9782,330.9160,643.3405,-294.8731,-899.0615
2700.0000,-219.4143,505.0129,309.0765,640.6785,-313.9212,-929.6400
2720.0000,-179.3904,534.9423,323.9055,637.3192,-301.0464,-909.1945
2740.0000,-183.4020,535.0519,334.0731,642.6442,-269.6528,-894.4966
2760.0000,-165.4401,519.8538,326.9113,647.3335,-282.1414,-894.3141
2780.0000,-190.3046,527.0629,326.0764,643.5792,-269.4880,-907.3665
2800.0000,-191.4096,533.8297,328.9377,646.3984,-268.3644,-915.4483
2820.0000,-192.2945,516.0844,330.0547,647.6223,-319.3696,-931.2635
2840.0000,-190.5223,496.8380,331.9480,648.3945,-288.4623,-930.5638
2860.0000,-176.2837,537.1653,331.0539,655.6329,-267.2832,-901.1387
2880.0000,-187.5295,527.7864,324.9346,648.4016,-280.5913,-910.6793
2900.0000,-180.2718,532.1770,328.0560,643.5543,-258.1003,-908.0202
2920.0000,-183.5319,530.7113,325.9472,657.3694,-257.7971,-915.7885
2940.0000,-162.2518,542.1660,334.0606,659.5897,-216.9452,-884.9059
2960.0000,-158.5184,536.7456,329.9347,656.4286,-240.9002,-898.8793
2980.0000,-160.2127,539.2239,339.0519,656.5652,-258.8272,-911.8294
3000.0000,-171.6339,530.5764,326.9274,654.3481,-283.0375,-918.9860
3020.0000,-173.1587,539.2954,328.0478,656.5729,-259.7066,-911.7492
3040.0000,-180.6095,533.5006,324.9329,654.3470,-257.1897,-919.0638
3060.0000,-190.1286,529.4323,329.0659,644.5908,-303.6007,-946.6895
3080.0000,-190.6857,525.5341,327.9311,661.4229,-310.3297,-935.1382
