t,1,2,3,4,5,6
2240.0000,519.8145,694.1688,-1008.9988,508.9177,719.5573,-226.4571
2260.0000,494.9968,684.1315,-1033.6724,511.6254,699.0103,-242.6806
2280.0000,484.2502,724.1279,-1084.3324,514.4725,686.5176,-249.3485
2300.0000,497.7767,740.4828,-1085.9440,501.4817,702.1156,-241.9777
2320.0000,481.3814,751.0548,-1118.0762,504.1712,687.9816,-251.3563
2340.0000,490.5871,714.6017,-1075.1417,528.7704,700.4323,-248.8738
2360.0000,494.5278,740.2164,-1094.6317,503.7606,690.8411,-244.3204
2380.0000,496.2337,742.8625,-1101.4993,507.7653,701.3327,-244.0949
2400.0000,489.1397,742.1912,-1139.5021,525.3629,693.0207,-250.2390
2420.0000,478.8277,736.0588,-1114.2949,511.0154,679.3130,-248.7174
2440.0000,499.2949,726.6024,-1124.2267,523.8183,697.8342,-243.1013
2460.0000,506.3135,684.5353,-1086.0790,527.4126,704.6746,-236.7267
2480.0000,502.2573,705.8672,-1104.4536,523.5419,700.8593,-239.9436
2500.0000,506.3261,722.2542,-1122.6567,539.1920,706.7617,-230.4440
2520.0000,485.4554,774.8389,-1165.2231,523.1064,685.0142,-246.5736
2540.0000,486.5852,767.3138,-1162.4712,530.0917,685.6304,-238.4668
2560.0000,489.8781,766.0276,-1162.6930,537.0380,690.5060,-236.6259
2580.0000,486.0046,725.8376,-1148.0762,531.2352,682.9283,-242.5528
2600.0000,499.4475,715.0725,-1144.4783,538.3633,694.3632,-237.4544
2620.0000,503.2001,735.3853,-1160.2734,540.8596,694.7858,-236.8520
2640.0000,472.2771,755.4602,-1180.9692,507.0910,665.2572,-248.7094
2660.0000,471.5251,758.0319,-1185.3529,513.3952,664.0327,-250.5664
2680.0000,449.3740,725.4310,-1181.0356,511.4784,646.2316,-255.3746
2700.0000,446.7507,698.4146,-1177.2576,500.3622,646.1414,-262.4184
2720.0000,449.3940,669.7764,-1153.1418,524.6193,651.3265,-253.3386
2740.0000,463.3551,731.3365,-1175.4110,502.9410,662.0861,-246.1939
2760.0000,477.0978,758.8635,-1226.4094,525.7404,676.2363,-249.3689
2780.0000,487.4174,765.4846,-1195.1730,506.3959,683.7072,-239.5355
2800.0000,470.0271,747.2855,-1175.5104,484.1311,656.4871,-241.0265
2820.0000,470.8378,715.0449,-1184.6776,489.5378,663.0173,-253.2570
2840.0000,470.0584,703.7497,-1185.2189,517.7322,668.1348,-250.4454
2860.0000,490.8737,746.7742,-1214.1678,504.3889,681.2780,-240.9179
2880.0000,486.0086,691.5083,-1169.8677,507.0435,678.3475,-240.5007
2900.0000,491.5490,715.5335,-1187.8505,508.3545,681.8098,-237.9654
2920.0000,465.7245,700.8616,-1193.3269,505.9930,654.7690,-255.1713
2940.0000,466.9304,746.7820,-1214.8483,495.6047,655.5125,-249.3231
2960.0000,463.2477,731.7219,-1195.3987,502.1716,646.7263,-255.9049
2980.0000,473.0834,713.7000,-1195.5660,527.3336,659.6768,-252.7876
3000.0000,486.9708,731.7850,-1180.2618,494.7074,671.7686,-244.9181
3020.0000,486.8906,722.4023,-1198.8213,501.9882,667.6204,-247.8190
3040.0000,484.8802,702.1271,-1172.3112,517.0623,672.8474,-244.5116
3060.0000,502.7033,725.4105,-1179.5870,510.6884,682.0937,-244.3853
