t,AF3,F7,F3,F4,F8,AF7
2460.0000,-186.4189,516.8724,422.2935,693.3709,-311.7969,797.0447
2480.0000,-182.3378,498.1220,423.7226,680.5916,-350.6323,778.9296
2500.0000,-194.5214,499.8462,424.2324,691.4056,-338.8701,791.8817
2520.0000,-183.2764,495.1378,420.7330,685.5731,-346.5863,788.9810
2540.0000,-175.5535,518.7994,419.1545,688.4105,-310.0344,810.0183
2560.0000,-201.2877,489.1456,418.7933,682.5591,-325.4386,783.0969
2580.0000,-182.5770,535.7955,419.1068,684.4378,-328.0925,782.8231
2600.0000,-191.2825,503.1507,422.8157,684.5178,-341.3495,780.0763
2620.0000,-186.5337,526.7761,421.0522,682.4819,-318.0899,780.9566
2640.0000,-200.3089,507.1725,426.9490,679.4803,-349.3968,781.1119
2660.0000,-168.5712,545.8323,429.0795,693.5002,-310.2758,813.8130
2680.0000,-196.2995,522.1870,415.9991,688.4462,-331.3553,791.1337
2700.0000,-188.5246,518.8062,422.9576,684.5353,-324.3770,805.8305
2720.0000,-168.2973,550.1727,422.9369,691.4316,-313.0826,816.0688
2740.0000,-201.5412,512.8134,419.9973,679.5693,-363.4607,798.8712
2760.0000,-179.3766,528.1587,418.9938,682.3892,-347.2356,816.0715
2780.0000,-178.4694,524.8530,421.9532,687.6019,-352.5485,813.7730
2800.0000,-176.3624,524.0969,424.0545,685.3405,-353.1112,816.0762
2820.0000,-185.4221,505.9172,417.9510,679.6488,-367.4818,802.7484
2840.0000,-193.5000,515.0345,419.0500,681.3004,-353.0874,803.1987
2860.0000,-179.3072,510.9477,423.8951,679.6945,-325.4156,807.8696
2880.0000,-190.5093,517.0455,424.0957,686.2609,-340.1414,804.2092
2900.0000,-169.2519,526.0042,422.8256,684.7400,-306.5820,823.8067
2920.0000,-186.6289,508.9520,422.1216,688.2062,-340.9898,815.0304
2940.0000,-193.1747,508.0262,424.9201,687.7680,-370.6095,795.8390
2960.0000,-172.6983,529.9414,419.0880,685.1777,-347.9924,802.1492
2980.0000,-177.1614,519.0548,424.9162,685.8229,-347.6026,807.8981
3000.0000,-181.7857,500.8856,423.0686,684.1324,-340.9646,814.1869
3020.0000,-187.0683,508.1047,426.9020,687.8420,-352.6472,790.9722
3040.0000,-183.7976,507.8797,429.1492,686.1142,-330.0058,805.1764
3060.0000,-187.9603,493.1259,427.8403,681.8904,-353.5279,769.9614
3080.0000,-194.8983,487.8453,419.0836,680.0749,-351.0370,775.1373
3100.0000,-195.9428,490.1480,415.9202,682.9231,-373.4868,770.9933
3120.0000,-177.9692,512.8016,419.0748,690.0594,-347.9587,779.0059
3140.0000,-184.8364,499.1934,421.8960,682.9443,-351.5625,777.9608
3160.0000,-181.0117,510.7947,422.1046,685.0388,-349.0558,783.0663
3180.0000,-201.7597,506.2597,429.8600,679.9399,-354.6299,775.9490
3200.0000,-213.1116,504.7636,428.0560,680.0194,-340.0650,774.0616
3220.0000,-217.7296,503.2749,426.9505,682.9709,-347.6181,772.9042
3240.0000,-206.1519,529.7241,424.0645,686.0206,-324.9468,783.0174
3260.0000,-215.6747,525.2570,418.8937,683.9541,-333.5997,773.9438
3280.0000,-224.1331,525.6959,422.9999,685.0094,-328.8802,769.9286
3300.0000,-212.6708,540.2610,424.9878,686.9787,-308.6251,781.9291
3320.0000,-233.1625,534.7266,419.0129,683.0223,-342.8944,749.8935
3340.0000,-219.6585,540.2420,425.9331,685.9685,-313.6895,773.9776
3360.0000,-217.1324,533.8066,428.0086,685.0142,-356.8990,761.9274
3380.0000,-218.6073,532.2197,422.9004,681.9612,-362.5987,758.0697
3400.0000,-217.1303,533.8264,422.9757,682.0330,-356.8870,761.8982
3420.0000,-234.6280,511.1638,418.9256,676.9456,-350.5510,747.0724
3440.0000,-213.1530,516.8807,428.0043,686.0455,-357.9533,723.8904
3460.0000,-221.6767,519.1135,428.9838,676.9304,-369.6386,721.1675
3480.0000,-214.0775,520.8670,422.0414,683.0703,-353.7716,722.8405
3500.0000,-204.6434,537.0842,418.9182,685.9139,-342.6920,747.1335
3520.0000,-187.0430,560.9268,416.0883,687.0880,-325.9104,748.7427
3540.0000,-172.7216,569.9968,420.8962,686.8983,-313.7881,752.2663
3560.0000,-196.9568,540.0524,426.0414,679.0868,-315.7843,746.6703
3580.0000,-197.7400,541.9410,420.8800,683.8533,-337.7102,744.1315
3600.0000,-180.8546,549.0422,432.0262,684.1200,-324.7421,748.6786
3620.0000,-198.8611,535.8704,427.8728,686.8457,-309.6786,754.1735
3640.0000,-184.7930,524.1365,432.0530,681.1556,-334.7956,749.6662
3660.0000,-182.9202,539.8262,422.8145,684.8034,-315.8436,756.2473
3680.0000,-174.6996,543.2739,426.1203,688.1727,-303.6398,780.6815
3700.0000,-173.0298,542.7512,421.8430,690.7882,-307.7567,780.3900
3720.0000,-183.5353,533.3108,423.1184,683.2211,-310.6349,779.6153
3740.0000,-180.1402,539.6674,420.7501,692.7478,-315.8745,776.3512
3760.0000,-188.4994,522.3969,425.2649,680.2275,-329.7030,767.5200
3780.0000,-181.2303,521.5467,419.7709,679.7202,-317.8635,777.4027
3800.0000,-182.3376,523.5143,421.2156,687.2731,-318.7261,775.4457
3820.0000,-191.4144,506.4289,425.6881,679.6929,-337.8191,763.3604
3840.0000,-206.2195,490.5452,421.2680,682.2941,-344.5915,758.4448
3860.0000,-180.5033,517.4164,427.6215,684.6707,-318.7485,784.4379
3880.0000,-181.1286,514.6680,421.3199,679.2992,-324.6447,774.5379
3900.0000,-188.5973,504.2847,424.6469,680.6528,-340.8849,748.5293
3920.0000,-181.9650,533.7184,427.4541,689.3286,-317.6376,778.3847
3940.0000,-188.7098,518.2206,422.4893,678.6238,-341.7292,772.4739
3960.0000,-179.8257,502.8019,423.4142,686.3524,-341.7852,774.4578
3980.0000,-170.8866,517.1886,426.5341,686.6285,-331.8408,790.6799
4000.0000,-168.7457,514.8961,416.5595,683.3810,-339.8448,807.3035
4020.0000,-157.0038,507.0695,421.4553,685.6005,-340.8035,805.6208
4040.0000,-146.5562,510.9247,425.6157,687.3965,-344.7112,794.3973
4060.0000,-162.1025,488.9928,426.4361,685.5854,-356.7556,778.7086
4080.0000,-162.4523,498.0301,426.5959,680.3929,-369.9480,779.2627
4100.0000,-151.1889,509.9547,422.2980,684.5661,-358.6952,787.7105
4120.0000,-142.3559,532.0947,424.6533,683.4272,-324.8262,818.2603
4140.0000,-150.3275,517.8884,428.3369,686.5648,-338.7040,805.6935
4160.0000,-150.2153,509.1495,422.7043,682.4383,-342.8379,806.2078
4180.0000,-115.3999,527.8682,426.3133,690.5443,-313.6798,833.6636
4200.0000,-127.0825,521.2171,425.7771,686.4479,-312.8646,824.1777
4220.0000,-141.5103,512.7937,421.2577,683.5134,-327.4357,820.7894
4240.0000,-142.0348,523.2460,426.7375,689.4529,-333.0871,825.2144
4260.0000,-144.5882,514.7188,425.2119,683.5008,-334.3858,826.7001
4280.0000,-136.8709,513.2532,420.7913,685.4713,-335.9947,824.2106
4300.0000,-120.6668,539.7466,432.2124,691.5121,-309.3280,856.7088
4320.0000,-121.8085,534.3264,428.7562,690.4899,-333.2055,841.3892
4340.0000,-119.7850,541.6823,422.1425,686.4884,-318.2595,861.5737
4360.0000,-114.7231,539.3391,422.8034,692.5200,-314.1906,868.3857
4380.0000,-131.8495,511.6141,426.2303,686.4738,-354.3712,840.7002
4400.0000,-121.6694,524.4119,423.7393,682.5249,-342.3217,861.4822
4420.0000,-122.8684,528.6008,429.1574,688.4440,-341.1335,865.5762
4440.0000,-110.6641,548.3871,426.7750,691.5441,-326.3910,881.5407
4460.0000,-127.9072,531.5847,423.1994,687.4142,-340.2005,863.4786
4480.0000,-125.5828,519.3894,419.7459,685.5579,-349.4592,872.6172
4500.0000,-114.9682,547.6333,422.1636,684.4023,-326.1028,883.4360
4520.0000,-149.5308,520.4247,418.7935,680.5777,-337.4666,868.5936
4540.0000,-118.9532,544.6108,426.2728,686.3903,-314.0008,879.4857
4560.0000,-142.4834,539.4012,423.6866,683.6223,-331.5893,871.7309
4580.0000,-144.0232,522.5486,424.3054,681.3598,-349.0298,858.3759
4600.0000,-151.4789,506.4378,423.6673,689.6312,-347.6410,866.6927
4620.0000,-140.0115,507.6013,424.3249,684.3224,-350.9455,856.2683
4640.0000,-123.4378,510.3866,422.7114,681.6661,-345.4973,873.7077
4660.0000,-152.0175,502.5424,420.2510,688.2861,-361.8587,862.1167
4680.0000,-150.4045,507.3822,423.6268,689.6964,-354.5259,863.7681
4700.0000,-152.0181,506.5798,422.2593,684.2540,-350.8610,871.0390
4720.0000,-153.4723,496.3875,428.6342,684.7249,-346.6780,860.9663
4740.0000,-163.0391,484.6235,427.3080,685.2277,-373.8276,859.1473
4760.0000,-174.4179,488.3839,426.6311,683.7843,-375.6554,864.9052
4780.0000,-194.0211,488.5970,419.3723,684.1856,-385.8400,857.0706
4800.0000,-202.4754,494.3647,421.5858,688.7932,-384.6914,850.0662
4820.0000,-222.9980,502.6049,422.3095,679.1435,-375.7311,856.0118
4840.0000,-236.5645,496.3192,423.5639,687.8536,-370.9062,860.1419
4860.0000,-258.9608,497.6517,424.4182,686.1255,-378.7699,851.9072
4880.0000,-291.6020,486.3394,420.6369,689.8766,-388.9087,841.2086
4900.0000,-282.9256,524.7188,429.3326,693.0751,-350.6814,872.9175
4920.0000,-302.6084,524.3375,427.6562,692.9348,-349.9221,868.1917
4940.0000,-331.9255,514.6997,420.3240,693.0358,-357.6769,864.9289
4960.0000,-332.6983,543.2882,424.6225,686.9638,-357.8354,860.2506
4980.0000,-362.8817,524.7630,421.3654,696.9907,-361.6105,869.8096
5000.0000,-388.7989,529.2662,424.6385,691.0016,-357.8454,883.3525
5020.0000,-420.8974,519.8073,422.2826,690.9705,-364.6740,877.9642
5040.0000,-437.8275,542.2030,425.7076,695.0391,-353.9035,882.3324
5060.0000,-455.7905,539.8401,420.2746,697.9197,-355.6737,881.8521
5080.0000,-492.8914,524.2324,422.6908,690.0735,-371.8931,863.3275
5100.0000,-516.7675,511.8040,421.3015,693.8876,-376.7063,866.9635
5120.0000,-571.0034,500.1677,418.7402,691.1130,-401.9380,838.1876
5140.0000,-576.6905,513.8875,423.2607,693.8555,-376.6868,854.9407
5160.0000,-594.1173,525.1191,431.7539,693.1586,-375.0008,854.2852
5180.0000,-638.6251,507.9048,421.2407,694.8276,-401.6600,847.0073
5200.0000,-652.1860,508.0901,421.7349,695.1750,-385.9883,859.1430
5220.0000,-659.5662,502.8675,422.1357,693.7925,-390.6809,869.9216
5240.0000,-710.3282,484.0293,419.7855,698.1950,-403.9899,857.0474
5260.0000,-722.5351,499.8940,419.1719,690.7737,-418.4845,857.1154
5280.0000,-726.4554,486.9973,422.8640,689.2159,-425.9482,855.9566
5300.0000,-749.4194,476.9184,420.0674,694.7472,-432.4893,852.0724
5320.0000,-752.4727,472.9879,421.8529,697.2674,-423.1161,871.0075
5340.0000,-786.3740,458.9923,422.0140,692.7117,-449.5655,845.1906
5360.0000,-801.6107,460.9444,423.8823,693.2833,-439.1534,832.9434
5380.0000,-795.2245,491.9787,417.9958,701.6984,-423.4464,849.3454
5400.0000,-807.7435,477.9946,423.9240,696.2896,-444.2345,837.7652
5420.0000,-812.1997,488.0526,426.9630,694.6981,-416.3793,839.4229
5440.0000,-812.8267,488.9744,421.0365,698.2840,-425.2044,850.7595
5460.0000,-839.0822,476.0602,430.9052,693.6877,-436.2757,832.3533
5480.0000,-842.8832,509.9012,423.9948,698.2832,-421.3141,829.6403
5500.0000,-855.0141,493.0858,419.8771,695.6749,-435.3344,816.5093
5520.0000,-865.0437,493.9066,427.0696,702.3061,-436.2907,822.6083
5540.0000,-874.9017,483.0643,428.8473,692.6902,-452.1447,813.5339
5560.0000,-892.1027,486.8496,423.1251,693.2978,-446.4398,814.3522
5580.0000,-900.8076,488.1541,427.8845,692.7009,-446.1469,810.7742
5600.0000,-944.2020,438.8320,421.1597,679.2773,-500.4417,772.3960
5620.0000,-946.7227,436.1314,424.8264,691.7079,-489.0524,775.7186
5640.0000,-912.2454,472.7999,415.0931,691.2475,-469.6235,813.3568
5660.0000,-897.6832,484.1390,428.7884,691.7293,-438.1218,816.8468
5680.0000,-888.3295,501.7911,423.1760,704.2208,-422.5775,820.2120
5700.0000,-891.5701,512.1605,422.8152,699.7831,-401.8578,830.0035
5720.0000,-931.4107,487.7707,417.2139,699.1852,-423.7605,807.0703
5740.0000,-950.5268,480.1664,430.7631,700.7928,-434.8627,803.9492
5760.0000,-952.5050,478.7349,427.1569,697.1677,-425.8301,813.1168
