t,AF3,F7,F3,F4,F8,AF7
3480.0000,-194.5389,538.1630,350.9305,623.7234,-374.3865,16.1912
3500.0000,-169.2950,569.0309,382.1187,667.2567,-339.5362,39.7765
3520.0000,-184.5403,530.1028,360.8771,653.6747,-370.1620,13.1397
3540.0000,-206.3246,529.0643,356.1078,634.3214,-367.6199,-5.9795
3560.0000,-182.4978,535.0056,359.8583,657.6293,-353.0208,3.0537
3580.0000,-194.3595,534.1416,362.1360,652.3590,-386.7514,-6.8836
3600.0000,-176.4382,547.8419,386.8399,689.6306,-344.9212,11.9324
3620.0000,-183.3951,554.2119,380.1449,684.3563,-366.8964,3.1504
3640.0000,-185.4667,533.7391,382.8398,677.5927,-354.8583,-0.1507
3660.0000,-180.3981,565.3336,383.1882,689.3967,-349.0096,-3.6407
3680.0000,-186.4502,564.4725,367.8131,671.5940,-351.6685,-25.2099
3700.0000,-184.4439,561.5171,366.1993,666.3578,-342.1496,-18.4906
3720.0000,-185.4346,568.2758,366.8009,688.6071,-322.6459,0.4517
3740.0000,-198.4632,565.6899,354.1920,668.3375,-352.1858,-16.2934
3760.0000,-199.4301,570.2429,364.8018,680.6137,-349.5026,-8.5933
3780.0000,-183.4693,558.8957,375.2106,696.3293,-317.2580,1.7414
3800.0000,-190.3640,559.9045,376.7839,714.6666,-338.5028,-2.7520
3820.0000,-157.4770,596.1581,409.2108,752.2946,-289.3946,37.9421
3840.0000,-156.3739,600.7341,403.7858,749.7344,-277.3750,30.9689
3860.0000,-173.4969,580.4214,390.2220,739.2400,-332.4041,9.1318
3880.0000,-153.3557,575.5925,412.8192,757.7784,-294.3087,40.7949
3900.0000,-160.4887,578.6519,398.2245,752.1937,-294.4713,30.3436
3920.0000,-130.3878,608.2558,435.8285,781.8597,-268.2217,62.6418
3940.0000,-121.3913,619.9221,432.2253,784.1578,-265.4517,60.5532
3960.0000,-181.3878,583.1087,393.8003,759.9324,-297.2199,24.3900
3980.0000,-159.4636,570.1334,403.1995,783.0903,-251.4556,36.6378
4000.0000,-184.4104,590.8596,363.7892,744.9991,-264.1761,10.2310
4020.0000,-158.4523,608.2328,397.2113,790.9900,-264.5186,33.8371
4040.0000,-128.3965,628.6887,418.8177,797.1036,-251.1290,41.0899
4060.0000,-131.4226,625.5621,433.1950,812.9100,-214.5079,34.0025
4080.0000,-143.4301,626.4725,417.8237,814.1932,-180.1175,52.8766
4100.0000,-158.4073,619.8004,400.1899,808.8344,-218.4873,28.1298
4120.0000,-150.4195,624.2763,405.8402,804.2584,-233.1196,39.7619
