t,1,2,3,4,5,6
3280.0000,200.7837,382.4149,-341.3727,-89.1083,-181.2142,304.8762
3300.0000,190.9260,382.7336,-344.2880,-88.9147,-170.4216,305.3574
3320.0000,185.3748,383.0184,-339.8377,-95.6436,-175.4634,305.9662
3340.0000,182.9271,373.5146,-339.2969,-87.7241,-163.1353,305.1567
3360.0000,189.8095,370.5131,-341.4294,-96.5692,-164.9252,308.3552
3380.0000,183.0757,371.3687,-340.2141,-104.9048,-167.7257,303.4819
3400.0000,186.3100,367.5842,-345.0138,-97.2520,-158.4766,304.3292
3420.0000,178.2514,368.6827,-341.5958,-107.3170,-168.2225,300.4381
3440.0000,188.9906,357.4895,-347.0252,-110.5173,-165.0284,306.7645
3460.0000,179.7502,361.9158,-344.8150,-125.8173,-172.2609,302.2831
3480.0000,183.7001,353.5183,-347.7289,-113.8233,-165.7573,307.7614
3500.0000,191.8411,350.6535,-358.7287,-125.1863,-170.8026,313.8268
3520.0000,191.6342,344.9383,-351.8120,-129.1192,-175.0608,313.3446
3540.0000,178.5662,345.6670,-342.6408,-122.5766,-157.0172,308.8397
3560.0000,172.2700,341.3672,-348.6199,-116.8981,-151.7635,309.8580
3580.0000,168.7975,347.1948,-352.3372,-115.9391,-156.6813,309.7417
3600.0000,173.4026,339.0942,-350.2230,-121.3588,-148.0888,311.2045
3620.0000,172.4602,343.2977,-339.5121,-134.6664,-160.3710,309.6758
3640.0000,177.6175,335.4301,-344.9911,-135.6868,-152.6063,313.2590
3660.0000,175.8195,337.6658,-348.5092,-148.9504,-160.7491,314.4495
3680.0000,185.3992,334.9319,-358.6266,-142.5995,-168.0654,308.9485
3700.0000,165.5194,342.4055,-338.5742,-149.5586,-156.5651,307.0573
3720.0000,152.9391,346.9418,-348.7338,-144.7619,-150.8468,310.2062
3740.0000,165.0769,344.1003,-347.4094,-144.4242,-150.7247,314.5198
3760.0000,163.1584,349.0293,-351.8444,-145.5802,-150.0819,315.4217
3780.0000,154.3028,364.1417,-350.1501,-159.1931,-157.4864,311.3054
3800.0000,196.3818,358.9591,-355.3282,-170.7905,-179.7467,313.5549
3820.0000,189.7897,355.7762,-362.6273,-155.0525,-166.5462,315.5947
3840.0000,173.6609,363.1050,-351.1854,-164.7809,-164.4581,321.7109
3860.0000,177.4519,350.5526,-350.9701,-148.1123,-155.9236,312.3286
3880.0000,149.0455,358.9243,-350.1147,-153.8685,-142.1820,318.0813
3900.0000,152.4956,351.4240,-345.9662,-145.3607,-143.8454,315.2441
3920.0000,141.5546,357.7189,-349.5400,-149.8657,-145.0348,318.0819
3940.0000,140.6690,361.2487,-348.3351,-163.0951,-157.2068,311.7333
3960.0000,141.7929,355.9081,-350.0463,-166.0612,-156.9648,311.7593
3980.0000,158.1700,346.7254,-363.1520,-166.5873,-162.1898,327.5854
4000.0000,133.8533,341.3603,-354.0166,-156.6280,-149.6936,309.2055
4020.0000,140.1726,343.7898,-360.3603,-160.2719,-152.4202,313.2402
4040.0000,133.8517,342.5364,-356.3665,-157.8906,-147.3645,313.3514
4060.0000,141.4976,339.5197,-362.5421,-167.6578,-151.2242,313.0746
4080.0000,139.2823,325.5016,-361.2498,-161.7171,-148.4532,310.0771
4100.0000,137.4287,323.0430,-354.2538,-175.8465,-157.8409,312.3241
4120.0000,116.9811,329.3260,-357.4309,-173.2358,-152.2443,312.3918
4140.0000,117.1002,327.0588,-359.9792,-173.1879,-143.8885,316.0468
4160.0000,109.3704,339.1917,-348.8867,-183.2536,-153.8943,312.1169
4180.0000,100.7183,336.9585,-340.5859,-184.5499,-153.6268,297.7654
4200.0000,123.9027,320.4151,-344.7765,-182.2192,-150.4502,308.2279
4220.0000,120.9152,322.4721,-352.2989,-193.9570,-155.4751,306.7864
4240.0000,107.1387,331.8846,-346.5490,-206.4702,-158.9102,309.4596
4260.0000,100.3858,327.8646,-353.8633,-199.8378,-147.1723,313.1490
4280.0000,117.5143,331.0333,-348.6749,-212.0464,-164.4373,306.5768
4300.0000,122.4964,328.6350,-355.3875,-206.4826,-160.4088,313.2786
4320.0000,127.5226,333.6478,-342.8115,-232.0899,-175.0450,298.5338
4340.0000,106.4433,334.3377,-343.9529,-226.4080,-162.7553,304.8464
4360.0000,128.6008,330.1946,-347.0504,-241.7766,-178.3062,304.0862
4380.0000,118.3385,333.2642,-347.0613,-237.5187,-172.9089,307.7832
4400.0000,116.0637,325.7992,-350.1074,-232.7366,-167.8918,302.7511
4420.0000,97.2763,336.2424,-344.3958,-244.0890,-168.8420,302.7966
4440.0000,91.5546,336.3651,-345.9912,-237.0736,-161.8566,305.5349
4460.0000,89.9280,327.6719,-342.7757,-237.7714,-158.6814,304.5905
4480.0000,86.4725,336.4569,-342.2307,-251.5408,-171.9001,301.0761
4500.0000,79.5124,330.7298,-340.7929,-243.6062,-163.5537,293.5512
4520.0000,81.4165,326.8544,-352.3525,-241.4478,-157.6534,305.2735
4540.0000,90.4634,327.2461,-346.7918,-257.5313,-179.3832,296.8859
4560.0000,111.7887,311.4467,-363.0061,-255.3645,-178.9471,309.9529
4580.0000,88.4182,324.5731,-361.0027,-264.1152,-176.5611,312.4575
4600.0000,91.0822,310.3313,-363.9776,-253.6457,-165.8900,318.2542
4620.0000,83.0247,314.9526,-344.9132,-257.8887,-162.0921,300.6213
4640.0000,78.9417,319.8584,-344.8253,-259.8573,-168.9116,302.4275
4660.0000,69.2484,308.9030,-346.0584,-248.8827,-154.2600,308.2459
4680.0000,70.5184,309.9957,-348.0813,-246.8655,-156.9978,307.2204
4700.0000,86.6246,306.7401,-351.3096,-251.3466,-163.1912,309.6818
4720.0000,78.5242,312.3445,-351.4762,-257.4542,-177.4984,303.3581
4740.0000,96.1940,306.0190,-357.3463,-255.9640,-178.9681,310.3814
4760.0000,83.6418,306.8863,-357.3649,-258.4640,-170.5414,313.7035
4780.0000,90.7168,304.8779,-355.9367,-266.2462,-179.2332,315.2459
4800.0000,109.4947,298.7338,-363.8680,-265.9301,-181.6307,316.7693
4820.0000,95.4383,302.5451,-356.2431,-262.9923,-181.6678,320.2190
4840.0000,81.0460,298.6868,-350.1716,-258.2191,-170.9003,303.4725
4860.0000,79.5526,297.5038,-355.4328,-249.8908,-163.9193,310.2585
4880.0000,91.5783,299.9716,-351.6443,-264.5212,-174.1651,314.4814
4900.0000,79.8490,291.1969,-349.6781,-245.7334,-157.9482,305.1562
4920.0000,84.6187,305.4003,-356.7714,-262.7343,-172.1385,313.6936
4940.0000,83.6155,301.1985,-348.6913,-264.8286,-173.3792,297.2579
4960.0000,86.5374,304.1820,-352.9669,-255.1502,-168.1459,303.7430
4980.0000,105.5584,299.1356,-362.4836,-260.4041,-181.0055,306.8666
5000.0000,85.3913,304.9143,-359.7294,-260.4512,-168.7025,306.9118
5020.0000,90.7112,302.4123,-360.2378,-270.3470,-176.0775,309.5899
5040.0000,80.9997,302.4853,-352.3768,-259.4785,-165.1893,301.5208
5060.0000,80.9508,300.5425,-349.2370,-267.0770,-166.4503,306.3885
5080.0000,90.4921,286.9211,-357.4596,-264.4324,-170.4195,301.6309
5100.0000,76.0868,293.8201,-364.8501,-264.6494,-160.6420,306.5290
5120.0000,74.8257,301.2162,-361.6078,-262.8213,-168.9964,301.1094
5140.0000,80.1298,298.1683,-366.2335,-271.9822,-170.5878,304.9712
5160.0000,71.6899,301.1076,-365.5504,-269.6910,-169.5407,297.5410
5180.0000,83.7462,305.2931,-370.1322,-275.2614,-181.7188,304.4354
5200.0000,73.2909,301.4993,-368.7865,-268.4357,-164.3614,310.5286
5220.0000,83.8435,306.5580,-376.1039,-280.6022,-176.0966,311.8836
5240.0000,81.2985,298.3073,-377.4037,-277.2576,-170.2898,308.7445
5260.0000,84.2224,303.8422,-386.8929,-279.0211,-174.0575,313.1068
5280.0000,82.3843,303.2622,-379.3842,-287.7151,-174.9440,310.1559
5300.0000,80.9730,306.9389,-377.8894,-282.9086,-171.6913,307.0988
5320.0000,95.5446,303.2241,-376.2746,-283.2921,-175.5701,307.5191
5340.0000,90.7115,301.6613,-371.4290,-279.4826,-168.1449,308.0750
5360.0000,81.9500,302.9199,-360.6038,-283.8041,-167.5567,307.7505
5380.0000,78.8168,306.0752,-364.2230,-282.3905,-168.0109,299.0216
5400.0000,85.3564,305.9340,-371.6274,-290.8092,-175.9653,308.3702
5420.0000,86.5275,299.8420,-373.7104,-281.4751,-165.4040,314.0032
5440.0000,84.4822,300.6654,-375.6139,-280.5499,-168.2863,315.2371
5460.0000,84.8114,300.1316,-375.9090,-283.8758,-173.3137,312.7844
5480.0000,84.9442,291.5930,-375.6398,-270.6758,-160.9948,317.9986
5500.0000,109.6421,292.6967,-375.7377,-276.8818,-177.3426,310.1874
5520.0000,105.0616,292.4348,-380.6581,-269.5602,-173.8710,310.8236
5540.0000,115.0574,297.0974,-369.4340,-274.9051,-181.4833,316.0124
5560.0000,112.7760,297.0238,-369.0405,-259.9741,-181.6400,315.6915
5580.0000,111.2979,286.0631,-376.0656,-233.6280,-169.2416,308.6752
5600.0000,118.3029,292.8384,-373.3606,-228.7514,-174.0394,314.1007
5620.0000,121.1123,293.5323,-375.2639,-221.4579,-180.6891,309.8719
5640.0000,129.6093,291.0335,-367.1733,-211.5071,-182.0134,317.2820
5660.0000,133.8884,286.7709,-363.6188,-203.7607,-186.6966,310.7921
5680.0000,130.4582,295.8809,-360.3551,-194.2768,-190.8780,307.4038
5700.0000,174.0309,276.7542,-368.3591,-176.0800,-192.2007,322.6472
5720.0000,178.3293,280.5871,-366.0606,-161.4985,-194.2322,322.9590
5740.0000,143.4328,292.3081,-354.9729,-154.5663,-187.5576,322.9183
5760.0000,161.0022,280.8656,-356.2882,-144.0500,-183.9913,319.7604
5780.0000,139.1522,292.3778,-356.2141,-140.7540,-181.4598,315.8746
5800.0000,143.1028,291.8557,-353.7386,-136.8695,-179.6728,314.2356
5820.0000,173.0525,291.6208,-351.3301,-130.7273,-195.9530,311.3687
5840.0000,181.4213,295.0193,-362.5147,-129.8285,-202.4850,305.1000
5860.0000,149.1324,307.9018,-351.5005,-110.7372,-185.0668,306.4295
5880.0000,158.9053,307.3482,-354.7617,-107.1346,-188.9194,310.0302
5900.0000,156.8475,315.5312,-346.7998,-115.6939,-191.4130,310.2638
5920.0000,177.2650,306.2756,-344.7765,-111.4089,-196.0865,313.2060
5940.0000,183.3949,304.0967,-349.9655,-96.3183,-193.5502,312.6017
5960.0000,177.3174,299.8503,-345.1527,-103.0701,-185.2764,316.7297
5980.0000,186.3384,303.1552,-352.9146,-88.3603,-186.7975,312.4599
6000.0000,182.9241,314.3005,-358.0812,-88.8510,-194.3965,318.9977
6020.0000,194.9099,303.0621,-355.8571,-88.5210,-194.5586,317.5262
6040.0000,189.5898,308.4912,-343.7009,-74.4962,-185.3353,312.7623
6060.0000,201.6234,303.8463,-348.1217,-79.6002,-194.1535,315.3511
6080.0000,219.8972,298.3505,-353.0936,-69.0199,-201.2601,316.9121
6100.0000,201.8376,303.0001,-353.7179,-70.3905,-190.7331,323.3783
6120.0000,225.8618,298.8031,-350.9885,-60.5367,-205.2022,313.1482
6140.0000,214.2155,293.2146,-345.3113,-46.0076,-179.7242,313.7142
6160.0000,191.3981,307.3569,-341.2916,-62.9674,-185.2856,318.4970
6180.0000,230.7074,289.1044,-348.2014,-49.6859,-190.7239,326.5537
6200.0000,212.6023,299.3468,-344.6100,-50.1502,-186.6098,310.5582
6220.0000,223.7231,300.1141,-349.4904,-49.6959,-191.2561,315.3207
6240.0000,221.7899,296.9978,-354.1118,-53.3256,-189.1695,313.3069
6260.0000,206.4278,304.1384,-345.2705,-60.6428,-183.5255,314.9127
6280.0000,226.0888,297.6755,-361.4199,-72.6134,-193.1502,324.6989
6300.0000,214.9937,302.5882,-358.8586,-74.1139,-191.2082,325.4822
6320.0000,217.5302,305.6735,-349.4620,-77.4887,-187.5954,310.8538
6340.0000,199.3663,316.3990,-350.7307,-85.1835,-187.2560,315.9273
6360.0000,187.9200,315.4487,-350.1104,-86.0724,-178.7048,314.1382
6380.0000,197.1067,313.3116,-349.5293,-85.1664,-182.1945,314.5858
6400.0000,190.8725,317.9403,-354.4318,-84.5052,-176.2252,317.8654
6420.0000,196.8711,324.4944,-357.4084,-86.7331,-181.3896,317.1468
6440.0000,198.2605,330.2287,-364.6232,-93.3871,-184.5853,324.7901
6460.0000,196.5852,331.6232,-361.9465,-83.9327,-174.9815,316.2577
6480.0000,188.3664,346.6985,-358.9066,-84.5705,-177.4094,316.5570
6500.0000,219.1136,363.1719,-354.2684,-88.2908,-192.2443,309.6501
6520.0000,215.9062,373.6854,-351.6299,-79.7871,-187.0787,309.4736
6540.0000,221.6026,374.6770,-344.4501,-87.2708,-187.7662,314.3632
6560.0000,196.0372,396.5650,-346.2037,-92.1112,-178.8894,313.0372
6580.0000,192.0037,400.9604,-357.1153,-79.7572,-172.2570,309.4622
6600.0000,200.4766,420.4680,-350.8894,-103.5846,-183.0755,312.9816
6620.0000,175.6803,435.6644,-342.5961,-98.2617,-162.2557,313.2422
6640.0000,205.0390,432.1907,-350.6666,-84.5977,-172.2063,320.9297
6660.0000,197.1962,436.6884,-353.6393,-84.8927,-175.8143,319.9682
6680.0000,184.0982,443.2216,-339.3149,-65.5583,-162.3157,314.9209
6700.0000,181.1233,446.7424,-345.6148,-74.5152,-172.8038,311.8418
6720.0000,212.1185,441.5392,-350.7755,-51.7186,-174.2211,310.4009
6740.0000,183.8455,444.3066,-344.8731,-75.4862,-170.0567,303.9616
6760.0000,166.8667,440.7716,-342.8730,-74.2547,-162.2044,299.2304
6780.0000,175.2561,446.3738,-335.7970,-91.6415,-171.0573,312.9986
6800.0000,178.5850,428.4185,-336.8115,-99.9360,-169.2728,309.3560
6820.0000,170.6907,427.5782,-335.9142,-107.1770,-172.0611,309.7704
6840.0000,159.8921,410.8021,-341.2222,-106.0254,-162.0627,312.5052
6860.0000,166.8277,409.8653,-356.4531,-123.8095,-177.7319,316.1692
6880.0000,169.1338,399.1754,-359.9536,-132.0463,-180.1118,314.2669
6900.0000,160.5644,398.1952,-350.9254,-136.6823,-177.0646,301.9373
6920.0000,167.0278,394.8524,-366.4237,-152.5309,-183.2110,315.7174
6940.0000,179.9044,383.3041,-363.5505,-148.0628,-182.4610,305.8430
6960.0000,174.0233,376.4354,-357.3665,-158.2146,-182.6880,308.1602
6980.0000,174.9877,378.8576,-362.9104,-159.8632,-183.4440,299.1912
7000.0000,169.9680,364.1537,-360.1990,-165.4895,-174.4016,303.6978
7020.0000,159.2103,362.5040,-369.3174,-173.4655,-180.3881,306.9422
7040.0000,156.6257,364.6181,-366.1690,-176.3229,-177.1086,302.0773
7060.0000,138.2377,356.9091,-362.4378,-173.3683,-163.0661,304.6425
7080.0000,136.7776,355.5260,-359.7758,-177.2510,-162.7643,304.2864
7100.0000,131.4240,351.2173,-357.0174,-177.9612,-162.5710,296.1438
7120.0000,116.8149,358.8052,-356.1379,-177.7305,-152.4154,295.8304
7140.0000,136.9191,350.7641,-361.8530,-175.5762,-159.5116,306.4130
7160.0000,133.1647,353.6775,-356.1987,-179.6530,-163.5917,302.0603
