t,1,2,3,4,5,6
2480.0000,228.2239,-400.1554,-363.0616,201.3866,95.9543,475.9418
2500.0000,236.5953,-405.4671,-359.8672,196.1460,93.6259,483.2930
2520.0000,236.5056,-397.2639,-361.4345,193.1867,92.7484,479.4289
2540.0000,234.6674,-407.1423,-354.3754,215.0469,92.4298,478.6393
2560.0000,236.6008,-402.1108,-349.8362,190.0034,92.2856,477.4269
2580.0000,210.0297,-420.4608,-366.0363,235.4923,94.3507,474.0596
2600.0000,227.1678,-406.4259,-361.0512,203.8667,94.7571,477.9551
2620.0000,214.1692,-418.0785,-358.5907,229.1523,95.5878,473.7390
2640.0000,221.6761,-414.6871,-364.1565,214.3340,98.7430,474.3979
2660.0000,221.6960,-422.0151,-363.0102,243.3961,98.3194,480.5356
2680.0000,222.2946,-417.1723,-363.5540,217.6783,90.8144,477.8978
2700.0000,229.3173,-414.5031,-358.9018,220.3937,95.7059,476.2881
2720.0000,219.3507,-422.7216,-365.6007,246.3739,95.4767,477.9743
2740.0000,224.9639,-416.0448,-372.1217,216.4903,94.8812,473.2132
2760.0000,226.4415,-414.4403,-371.4809,228.6735,94.2858,473.5925
2780.0000,229.2046,-412.2307,-373.3036,222.4941,94.4521,477.9807
2800.0000,229.6781,-411.7983,-372.9025,224.3660,96.2192,476.7155
2820.0000,231.8609,-404.0470,-372.5151,207.2237,93.1665,473.9394
2840.0000,227.3584,-413.3244,-369.1763,216.7244,93.9776,474.1089
2860.0000,233.5401,-406.7381,-356.5292,215.9144,97.0378,473.8847
2880.0000,229.2583,-414.2353,-364.9760,217.5531,95.7769,477.8947
2900.0000,234.8413,-410.1495,-354.5761,226.8656,95.8943,475.7380
2920.0000,239.7362,-406.8676,-363.4872,206.5277,93.6369,479.9573
2940.0000,229.8711,-409.7769,-374.8797,206.9187,95.2819,480.1531
2960.0000,221.2799,-412.1201,-373.0127,227.8855,93.6712,475.4284
2980.0000,229.8487,-409.5550,-369.0834,219.3631,96.3617,477.6281
3000.0000,242.9635,-400.8783,-360.5491,201.5325,94.7970,478.0709
3020.0000,229.3024,-407.9865,-367.6129,207.9262,96.4666,480.3460
3040.0000,235.9885,-407.6644,-357.9304,210.5308,98.2844,479.2984
3060.0000,227.3079,-400.8812,-362.4241,197.5061,97.7927,477.7899
3080.0000,232.0587,-398.5034,-359.8553,189.6894,92.8993,476.0443
3100.0000,228.8805,-398.5579,-370.4207,187.8184,90.3399,477.5960
3120.0000,223.9212,-403.9518,-368.3417,206.6673,91.5165,480.6015
3140.0000,228.0006,-400.9917,-364.1536,199.9003,94.3367,477.2758
3160.0000,224.2767,-405.7823,-367.0873,210.1685,94.5141,477.5817
3180.0000,219.7189,-415.5846,-365.8440,214.4144,100.2735,475.1482
3200.0000,220.0421,-419.5177,-359.0577,212.9752,99.2477,474.9759
3220.0000,220.9417,-419.8603,-362.0641,208.7219,97.7456,477.1031
3240.0000,212.5791,-428.9701,-361.8430,232.0221,96.6821,476.1337
3260.0000,209.8568,-429.2358,-363.7104,226.8351,93.9849,474.5436
3280.0000,207.7907,-434.5334,-361.4238,229.1166,96.2172,475.5820
3300.0000,206.5490,-438.4435,-358.1057,243.3741,97.6472,475.6444
3320.0000,192.0590,-442.6878,-369.5161,238.1397,94.9025,472.7812
3340.0000,202.0338,-441.9597,-359.6762,244.8877,98.4967,474.9974
3360.0000,198.1158,-437.1842,-375.3593,238.7917,99.4376,475.5004
3380.0000,196.1324,-435.6769,-377.0551,236.9503,97.1462,472.9745
3400.0000,197.1893,-436.0392,-375.2533,238.6452,97.2682,472.8464
3420.0000,202.2429,-430.4093,-364.5765,218.4400,95.1602,470.9884
3440.0000,193.6396,-425.5234,-370.9753,220.0959,98.2575,477.9990
3460.0000,186.0659,-432.0551,-374.6527,230.1926,101.3517,471.4299
3480.0000,190.1232,-426.8741,-370.3730,223.7229,95.7777,474.7961
3500.0000,192.8247,-430.7528,-371.7554,236.4642,94.0349,474.8033
3520.0000,181.9254,-435.8371,-373.1240,257.9995,93.3005,472.8664
3540.0000,179.2629,-436.3432,-371.0845,269.2455,96.6113,472.3518
3560.0000,189.8286,-432.6296,-360.3231,248.4547,100.2223,470.3400
3580.0000,188.5066,-431.4390,-370.9927,243.6915,95.9648,473.0742
3600.0000,187.5020,-431.5752,-367.7449,255.5376,102.7542,473.7950
3620.0000,198.6920,-430.6397,-357.5341,239.3385,99.0684,476.4136
3640.0000,200.9776,-419.1870,-363.7606,232.2194,102.1937,474.3526
3660.0000,197.4193,-424.3291,-361.9615,241.3611,96.7199,474.1831
3680.0000,207.7622,-423.3165,-358.6113,243.8127,97.9369,476.5845
3700.0000,209.1601,-420.4906,-360.9182,238.9399,94.6869,478.0618
3720.0000,210.4911,-421.1778,-357.5783,236.3031,96.9688,473.7758
3740.0000,209.2380,-421.1756,-363.4189,233.9492,93.3828,479.6362
3760.0000,209.3582,-417.9019,-361.3289,228.2488,98.3916,473.1028
3780.0000,215.2811,-412.6549,-356.7984,224.9278,95.2492,472.2383
3800.0000,216.1299,-413.6812,-358.7588,221.8538,94.2273,477.5161
3820.0000,216.4508,-410.0561,-359.6246,212.4023,97.9121,474.4701
3840.0000,223.9460,-405.7012,-357.7234,192.6111,93.8565,477.4068
3860.0000,222.1883,-411.6636,-356.1661,220.6701,98.3204,477.0418
3880.0000,217.6421,-409.0635,-357.3493,218.7534,95.8732,472.8716
3900.0000,212.2124,-407.0703,-360.5641,208.6147,96.9162,475.2844
3920.0000,211.6505,-421.0924,-361.2878,233.8555,97.8952,478.5725
3940.0000,212.6889,-414.7226,-364.9721,223.5815,96.9083,472.1875
3960.0000,226.6370,-400.9889,-361.8281,201.6164,94.5376,479.4455
3980.0000,225.6477,-406.3418,-362.2713,217.4990,97.0369,478.5019
4000.0000,232.7607,-401.2096,-365.1783,212.5052,91.8545,475.4561
4020.0000,238.2711,-392.5845,-363.6898,204.3601,93.6460,478.4815
4040.0000,232.3819,-391.1113,-366.8676,208.1770,95.7487,479.8952
4060.0000,236.7031,-385.7823,-364.2354,188.0249,95.5915,480.9331
4080.0000,228.4738,-391.7252,-371.5825,201.1494,97.4803,476.4132
4100.0000,228.1157,-391.7840,-371.9449,207.6721,94.4714,477.6771
4120.0000,229.1346,-401.9950,-364.7034,232.8955,97.3951,474.7046
4140.0000,232.3031,-397.8830,-366.0300,217.7667,97.9760,478.8162
4160.0000,236.2654,-391.5197,-364.8622,209.0916,95.2670,476.2364
4180.0000,243.4469,-387.0484,-360.9198,222.4740,96.1346,480.5354
4200.0000,241.1951,-388.9154,-357.5009,219.2473,96.6234,478.1666
4220.0000,242.0759,-389.3168,-360.2420,211.1798,94.3264,476.4525
4240.0000,239.1955,-396.3811,-366.2391,219.9614,96.5215,480.1798
4260.0000,242.4046,-392.9265,-363.2922,215.1796,96.7393,476.6952
4280.0000,243.8358,-386.9172,-364.4361,209.4294,93.4967,477.8336
4300.0000,245.4679,-398.0241,-362.2519,237.4085,100.0114,480.5684
4320.0000,240.8120,-394.1054,-370.4892,230.3566,97.8844,480.1604
4340.0000,244.3618,-396.1411,-366.4900,238.0982,95.4799,475.7932
4360.0000,251.5907,-391.9137,-365.1962,231.1455,94.1385,480.3976
4380.0000,250.8675,-384.9106,-371.5159,208.9749,96.2159,479.4828
4400.0000,251.5462,-387.6443,-370.4082,223.7264,96.4433,475.1165
4420.0000,252.7103,-391.4858,-371.6675,226.2444,98.3035,479.4323
4440.0000,250.3417,-396.4582,-372.7097,242.6958,97.1234,479.3160
4460.0000,249.6643,-393.7921,-372.2321,227.5139,95.2769,477.6933
4480.0000,259.8796,-384.6850,-372.4295,214.3757,93.0230,477.3785
4500.0000,248.6484,-397.5221,-371.4149,245.4724,96.2779,473.8147
4520.0000,254.5881,-396.7059,-366.1171,220.6099,94.0318,473.3652
4540.0000,249.8799,-398.7898,-365.3641,243.3576,98.0826,475.8681
4560.0000,246.1141,-405.7029,-369.8356,239.9067,97.0984,474.0793
4580.0000,248.8349,-396.8941,-371.4800,224.2336,97.1001,474.3984
4600.0000,264.9588,-389.5813,-367.0618,201.4669,93.7389,481.8029
4620.0000,258.4772,-385.9953,-368.3750,206.2459,95.5004,478.1075
4640.0000,264.4513,-380.0376,-367.3643,209.5410,95.3008,475.8932
4660.0000,264.2343,-386.4644,-371.7563,196.4957,91.8282,480.9697
4680.0000,262.8867,-389.5137,-370.2408,202.1255,93.7164,481.7936
4700.0000,264.3045,-390.1530,-367.6878,205.0664,94.3172,477.8586
4720.0000,266.3753,-386.9304,-362.4479,197.4829,97.4205,479.9032
4740.0000,270.7309,-383.5063,-369.8742,184.2892,95.8324,481.4363
4760.0000,269.2704,-390.7657,-371.1291,189.6537,96.0768,479.8701
4780.0000,264.4807,-397.2670,-375.1540,186.9561,91.8168,479.2296
4800.0000,259.2929,-404.5084,-376.6223,190.9434,92.2817,482.0295
4820.0000,251.7316,-420.2531,-373.0501,208.8007,95.8422,474.2039
4840.0000,259.9795,-421.9853,-369.8619,197.1900,94.0602,481.0121
4860.0000,252.9177,-433.2669,-372.2621,201.5164,95.2052,479.5920
4880.0000,254.1674,-439.6094,-372.5279,186.8796,91.5744,482.7913
4900.0000,247.3836,-460.7369,-368.6075,228.7032,97.9696,481.8364
4920.0000,244.3167,-468.9240,-367.4670,228.8362,97.1364,481.4170
4940.0000,246.6932,-474.1563,-367.0839,216.8859,92.4517,481.5000
