t,AF3,F7,F3,F4,F8,AF7
4000,213.4576,-169.3041,143.6594,1110.9041,-759.7601,512.4737
4020,202.0807,-165.8012,150.881,1086.1768,-732.8171,519.3751
4040,210.2957,-170.037,139.278,1099.859,-755.7532,520.9417
4060,213.0362,-163.9536,157.2263,1116.5681,-753.6379,512.9503
4080,213.2977,-169.0737,159.0808,1129.9053,-758.6377,519.3773
4100,216.5085,-163.2509,148.6547,1142.1625,-769.1332,517.1023
4120,213.0588,-187.1726,146.4843,1107.7327,-749.5409,522.4874
4140,214.1568,-186.2369,155.4164,1126.3741,-745.9592,521.6385
4160,211.7986,-174.0646,154.175,1137.5469,-754.3955,511.1295
4180,204.4034,-188.1733,156.3388,1139.1212,-747.4222,519.6711
4200,202.501,-187.9575,162.143,1138.3212,-752.1643,520.3165
4220,201.3131,-179.1886,163.7939,1116.7988,-748.2643,517.7253
4240,205.38,-185.8671,160.6683,1126.3885,-750.6791,526.568
4260,200.0964,-192.6716,182.7034,1156.4132,-777.8469,515.1675
4280,197.9951,-197.3726,196.4147,1205.7383,-748.1497,507.9649
4300,193.9257,-203.5156,200.389,1206.9089,-747.6647,509.0564
4320,200.7368,-196.1617,184.0701,1192.58,-761.8459,504.1143
4340,199.4561,-188.3887,169.2646,1177.2292,-763.0845,508.4319
4360,193.992,-189.6086,184.6601,1190.3188,-749.6331,506.3228
4380,199.4926,-191.5785,182.7072,1193.845,-753.9947,505.2811
4400,193.2408,-199.7804,185.9345,1199.5028,-745.8367,514.2789
4420,194.239,-196.8626,165.682,1173.2007,-745.3279,509.6491
4440,207.4781,-182.3195,159.9344,1176.219,-760.0248,508.9384
4460,198.6614,-197.306,166.5797,1177.4063,-746.7791,513.4686
4480,203.0549,-189.438,187.6441,1177.3427,-750.7455,498.1709
4500,201.6446,-198.9683,180.4797,1189.9225,-737.2482,511.6096
4520,203.1956,-188.5612,173.2472,1172.5923,-748.3586,515.0207
4540,206.6067,-184.1728,186.3936,1165.5448,-753.4657,513.3708
4560,198.4979,-182.174,188.1422,1185.4846,-751.5339,505.6462
4580,195.5043,-192.8984,164.6286,1154.3354,-722.9594,516.2856
4600,191.2753,-211.9841,164.3258,1127.5271,-699.8939,522.0131
4620,196.6613,-192.7401,158.7474,1149.1171,-747.012,517.8816
4640,190.6177,-193.637,144.5895,1137.1348,-732.8211,525.9081
4660,182.6319,-209.5941,122.6711,1139.6144,-724.3864,521.3768
4680,186.645,-192.5472,125.1416,1119.5035,-728.6022,529.5653
4700,186.9278,-193.5778,150.41,1153.2141,-748.4301,519.3384
4720,187.0783,-178.2107,157.4465,1159.2545,-749.3958,518.21
4740,191.8862,-190.8681,139.2417,1130.3126,-714.929,522.8685
4760,181.2142,-166.8623,142.8943,1125.828,-735.2567,515.981
4780,188.8296,-149.9017,155.4861,1147.3943,-747.6371,523.2894
4800,182.1275,-155.95,165.8426,1136.4023,-735.2493,519.8405
4820,189.3656,-145.7762,158.3132,1124.8583,-748.5557,525.4935
4840,184.6031,-136.3437,154.1546,1115.343,-745.352,519.7337
4860,184.8619,-129.2595,153.3477,1116.3053,-750.8171,523.0283
4880,171.2084,-146.2435,144.2742,1119.5508,-749.2963,520.7283
4900,179.2834,-103.9876,167.6145,1123.0941,-754.7822,523.3943
4920,176.4556,-110.865,161.0168,1104.2644,-749.0278,523.2038
4940,174.5087,-92.0453,153.3482,1091.8782,-753.4821,525.1901
4960,158.8838,-111.0972,136.9044,1080.7581,-724.8719,533.8697
4980,168.9415,-90.9867,153.1913,1092.6023,-742.0439,523.674
5000,164.8046,-99.1992,178.4433,1108.9113,-725.7617,530.4504
5020,166.5302,-74.6668,192.3241,1083.29,-745.0281,517.1736
5040,179.3886,-53.8622,190.5757,1089.4773,-778.9929,522.1689
5060,165.8107,-65.2922,175.6329,1070.2197,-762.0751,523.3726
5080,158.136,-71.084,163.2955,1068.8156,-739.4109,523.654
5100,158.5575,-72.6944,171.7528,1064.8208,-732.4837,526.6494
5120,146.8265,-84.2788,177.6135,1072.473,-715.5757,528.9261
5140,148.024,-77.2684,202.0513,1069.8973,-716.7571,520.7145
5160,164.1925,-38.6453,196.7106,1065.103,-758.8792,519.7228
5180,146.1637,-58.2294,172.1863,1081.2914,-733.782,515.3809
5200,155.8379,-47.1672,185.7677,1096.3367,-749.2792,523.5233
5220,158.2179,-37.2854,188.6764,1084.9016,-745.5312,518.9296
5240,159.4326,-31.8169,199.1243,1085.3438,-755.6683,513.4637
5260,165.1731,-15.0452,218.9753,1097.9504,-775.89,517.009
5280,160.1765,-11.9198,184.8301,1059.2393,-771.9022,516.7003
5300,159.2552,-8.0171,186.9877,1061.7206,-771.396,525.5876
5320,165.6554,-1.0482,201.742,1080.0809,-781.9084,504.6785
5340,168.98,-1.0653,214.0244,1087.3276,-784.5408,507.7975
5360,173.8932,9.372,192.679,1067.0211,-794.2939,514.1077
5380,168.0422,1.2585,175.0534,1067.0864,-792.4267,509.6825
5400,175.7752,16.4751,172.2464,1074.5873,-789.262,511.5381
5420,170.9931,-1.2929,171.3739,1094.682,-792.7851,515.0334
5440,183.3845,20.4787,191.6347,1113.2224,-816.3057,508.6998
5460,185.5218,17.2016,187.9166,1100.1832,-805.2233,513.2623
5480,188.3188,16.8684,163.205,1078.7401,-804.0037,520.106
5500,188.201,19.826,144.1254,1062.6549,-806.6836,514.0143
5520,188.6088,18.0063,166.0794,1066.8352,-791.3442,517.9661
5540,197.3132,22.2625,182.0583,1082.8392,-802.4655,511.1292
5560,199.1018,23.3846,206.138,1110.6469,-798.4087,507.632
5580,199.9677,28.1583,194.3524,1098.2201,-810.6591,503.2477
5600,209.701,43.46,170.4561,1065.9136,-795.72,515.4315
5620,210.1085,32.5208,159.5376,1075.3751,-818.3018,508.6107
5640,203.554,18.0899,143.3501,1065.9535,-803.779,520.1863
5660,209.4281,14.9018,163.7312,1091.9509,-794.7229,504.1399
5680,222.3165,22.7802,183.6037,1119.1343,-817.9053,502.8459
5700,221.1341,37.5322,167.8054,1092.8323,-800.1466,510.8033
5720,221.3249,29.4831,149.7607,1088.434,-817.4925,511.6226
5740,210.5917,16.8759,132.7597,1063.8969,-798.7184,519.2637
5760,219.837,37.4688,151.0184,1079.3258,-833.7045,514.1985
5780,236.6603,55.6002,179.6493,1104.6158,-834.8582,509.144
5800,224.4992,36.7915,163.2972,1084.5083,-825.6071,502.3232
5820,230.6858,53.0943,144.4629,1054.4125,-831.0833,516.5394
5840,228.9128,32.5877,150.8098,1067.769,-817.0292,513.334
5860,232.0392,32.5043,147.4516,1060.0548,-820.5007,514.2659
5880,228.5693,35.8739,152.1507,1091.1455,-831.3018,508.4776
5900,235.2933,36.1275,171.9569,1091.4622,-825.657,510.4922
5920,227.0961,21.1739,150.1591,1088.8782,-812.9525,508.108
5940,227.5942,36.4954,148.319,1072.5724,-816.4408,506.8493
5960,225.5087,11.5658,149.5785,1076.8052,-803.13,516.7451
5980,230.006,23.2533,163.2702,1084.6594,-798.2557,518.0611
6000,211.437,-8.5351,137.7898,1086.5018,-767.1546,507.2513
6020,220.0009,-6.0843,135.7426,1073.7727,-773.6857,522.1921
6040,235.5424,13.5964,154.0508,1081.6608,-795.4528,518.5809
6060,225.1732,-7.0266,139.1178,1078.6019,-779.9879,514.4417
6080,233.1072,1.8341,146.0203,1073.1277,-795.7147,517.7253
6100,223.2056,-21.9048,135.1216,1088.4282,-783.1204,518.0967
6120,229.4727,6.8781,155.2401,1078.5211,-795.058,510.0697
6140,228.8441,2.4803,157.3623,1082.0768,-791.1105,511.8525
6160,228.211,-3.5192,144.5256,1066.4315,-782.7691,517.5757
6180,224.5861,-28.469,132.0088,1087.957,-776.0839,518.9305
6200,232.1525,-19.0059,141.6047,1095.4965,-781.3045,523.2923
6220,228.808,-21.2015,147.0771,1106.4884,-784.556,512.5905
6240,225.7451,-28.8857,146.0789,1100.2207,-774.3794,511.3624
6260,227.7697,-31.0409,140.4696,1099.4797,-780.8265,514.9427
6280,235.6732,-40.2352,130.8528,1103.2467,-784.5959,513.2283
6300,238.8176,-37.871,153.3675,1127.2439,-793.6195,512.5178
6320,240.6528,-42.4764,153.8962,1120.7421,-789.0575,510.3035
6340,241.9513,-37.0497,144.2741,1099.8995,-795.1519,515.3414
6360,240.8835,-37.5354,127.0023,1098.9209,-795.0842,515.6268
6380,238.5969,-40.7205,133.8424,1094.2307,-781.006,513.4458
6400,241.6004,-44.0177,130.4795,1102.7019,-791.2753,515.1275
6420,250.0314,-40.6318,145.5432,1108.0149,-812.2101,510.5717
6440,256.3078,-39.9147,154.2954,1104.684,-789.9561,506.8497
6460,251.5441,-47.7064,132.8254,1100.1656,-787.9431,515.3392
6480,253.0302,-52.7002,115.5004,1081.9447,-784.1249,521.3619
6500,255.1338,-63.7391,118.4774,1105.4916,-780.0338,515.8889
6520,263.5341,-46.4625,156.4907,1125.7914,-790.1018,509.6257
6540,260.8099,-44.5529,132.759,1106.9114,-784.1965,517.3346
6560,261.3373,-56.1555,110.3831,1094.8942,-784.9306,517.2631
6580,262.8403,-59.1725,128.9434,1101.2797,-783.4941,513.0016
6600,261.1493,-58.4872,138.2659,1119.1119,-779.756,516.1515
6620,267.6629,-67.3656,140.9634,1117.8582,-775.1492,518.3418
6640,260.2625,-73.4547,119.7848,1105.9937,-776.8289,522.042
6660,263.8489,-72.865,103.8752,1105.0032,-780.2708,521.0639
6680,259.2019,-79.2346,94.5937,1106.3164,-764.1299,525.7401
6700,261.0763,-66.4714,102.4787,1132.6968,-802.2202,519.4628
6720,261.4257,-77.6897,134.4553,1112.1302,-780.0922,524.3185
6740,267.2124,-71.5075,115.5535,1110.9171,-797.6324,522.9365
6760,266.6501,-83.508,97.3809,1093.7546,-785.8079,526.8413
6780,266.7434,-90.333,105.6032,1110.191,-786.5541,521.9206
6800,265.4283,-98.2765,105.7258,1103.5747,-780.0903,524.4502
6820,261.6749,-101.3616,102.4657,1120.7585,-765.8463,521.5728
6840,260.6844,-96.4557,93.5659,1136.512,-806.5322,522.4093
6860,258.1663,-113.0667,113.2146,1125.0463,-766.3524,526.7878
6880,259.6182,-119.2195,102.5363,1122.438,-768.2852,521.9855
6900,259.6568,-125.3364,101.9164,1096.7415,-763.0083,529.8275
6920,264.1031,-119.0643,122.7432,1142.1876,-777.008,521.3159
6940,261.2482,-124.9307,99.0478,1128.4009,-779.9348,523.0612
6960,260.5863,-128.2969,93.7205,1128.022,-773.9512,523.6391
6980,257.0197,-143.0503,93.8573,1134.127,-766.8734,523.5375
7000,252.288,-151.9552,118.2897,1152.051,-755.2574,522.8729
7020,259.8493,-143.402,110.7806,1150.519,-767.004,521.7654
7040,252.1224,-144.2789,107.6,1116.8212,-753.134,528.143
7060,258.6099,-126.2117,98.2472,1119.167,-771.8011,527.4448
7080,253.6599,-130.4744,104.5085,1118.8582,-765.7811,530.548
7100,262.4221,-127.3043,111.3378,1116.1484,-763.0608,526.3192
7120,263.7852,-136.4167,81.0107,1106.7848,-759.204,527.0214
7140,260.2386,-137.9116,87.0671,1117.9619,-758.3351,533.4661
7160,260.0398,-138.6039,86.794,1121.4001,-755.407,525.1145
7180,261.8887,-130.448,79.4541,1109.8768,-753.418,526.5229
7200,260.8559,-139.0611,90.8219,1121.8696,-749.8728,527.1498
